ตาราง 15.1 รถจดทะเบียน (สะสม) ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522 จำแนกตามประเภทรถ พ.ศ. 2557 - 2561,,,,,,
Table 15.1 Vehicle Registered Under Motor Vehicle Act B.E. 1979 by Type of Vehicle: 2014 - 2018,,,,,,
,,,,,,
ประเภทรถ,2557,2558,2559,2560,2561,Type of vehicle
,(2014),(2015),(2016),(2017),(2018),
รวมยอด,"1,250,896","1,328,670","1,339,664","1,382,389","1,431,443",Total
รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,"260,383","277,387","295,475","315,670","339,014",Sedan (not more than 7 passengers)
รถยนต์นั่งส่วนบุคคลเกิน 7 คน,"12,585","12,218","12,123","12,036","11,900",Microbus & passenger van
รถยนต์บรรทุกส่วนบุคคล,"126,024","255,432","233,437","241,980","249,919",Van & pick up
รถยนต์สามล้อส่วนบุคคล,54,61,61,58,49,Motortricycle
รถยนต์รับจ้างระหว่างจังหวัด,-,-,-,-,-,Interprovincial taxi
รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,350,316,404,387,345,Urban taxi
รถยนต์สี่ล้อเล็กรับจ้าง,28,27,27,28,-,Fixed route taxi
รถยนต์รับจ้างสามล้อ,"1,142","1,141","1,142","1,149","1,171",Motortricycle taxi (tuk tuk)
รถยนต์บริการธุรกิจ,54,155,200,208,204,Hotel taxi
รถยนต์บริการทัศนาจร,-,-,-,6,21,Tour taxi
รถยนต์บริการให้เช่า,-,-,-,-,-,Car for hire
รถจักรยานยนต์,"755,667","776,769","791,405","805,350","823,233",Motorcycle
รถแทรกเตอร์,"3,855","4,193","4,416","4,424","4,621",Tractor
รถบดถนน,312,349,388,430,436,Road roller
รถใช้งานเกษตรกรรม,28,29,30,34,34,Farm vehicle
รถพ่วง,17,19,22,41,38,Automobile trailer
รถจักรยานยนต์สาธารณะ,397,573,534,488,458,Public motorcycle
,,,,,,
ที่มา:  ,สำนักงานขนส่งจังหวัดเชียงใหม่,,,,,
Source:  ,Chiang Mai Provincial Transport Office,,,,,